,transcr_targets
CDK2,"CDK16,HMGB1,STAG1,FOXA1,TOP2A,RAD21,MYC,TDG,SET,TAF6,MED14,RCOR1,SPEN,SUMO1,PLK1,ZBTB33,TUBB,KHDRBS1,CHD8,DNMT3A,MYBBP1A,TP53BP2,TP53BP1,EHMT1,CHEK1,MSH2,HMGA1,GPS1,CCND1,CDK2,RPS3,CAV1,SMARCA2,CTR9,MEN1,ING4,MAPK1,HIF1A,VHL,XRCC6,BRD7,GSK3B,MNT,NR3C1,CDK8,FOS,CDK6,BANP,SUZ12,XPO1,SIRT2,CDC73,UBE3A,SNW1,CCNE1,YY1,CDKN1A,NELFB,SENP1,SP2,WDR77,MTF2,TCF7L2,KPNB1,DAXX,PPP1CA,E2F1,CDK1,GADD45A,ERBB2,CEBPB,GSK3A,SP3,CHEK2,TCF3,MDM4,NCOA3,USP7,RFC1,PIM1,NPM1,DDB2,CCNA2,NCOA2,SMARCC1,ATF2,PRKDC,NCOR2,ATF3,SMAD3,SSRP1,EGR1,MAP2K1,NBN,LRIF1,FANCD2,CSNK2B,AURKA,SUMO2,SKP2,SMC1A,ASXL1,MLH1,ATAD2,LYN,FOSL2,SETDB1,JARID2,TFAP2A,SMAD4,CDK7,PHB2,SIRT6,GTF2I,TFDP1,HSP90AA1,KAT5,CDYL,ATRX,HUWE1,EHMT2,TAF4,IER3,SMAD2,ANP32A,RBL2,CDK9,PTPN1,SP1,NELFE,RUNX1,FOXO3,NFE2L2,H2AFX,TLE1,PRKCA,BHLHE40,PARP1,POLR2A,BRCA1,KAT6A,TP53,BARD1,PML,CHD4,NCOA6,ELF4,CCAR2,NFKBIA,HCFC1,RB1,TOPBP1,USP37,MED1,CEBPZ,MAPK8,BRD4,FOXO1,CDH1,EGFR,UHRF1,E2F6,PSMC5,FOXM1,NCL,PTEN,SFPQ,JUNB,RBBP4,EZH2,PELP1,TERF2,TRIM28,STAT1,CCNH,DNMT1,SMARCA4,STAG2,STAT3,HDAC2,HNRNPD,SREBF1,TOP2B,SNIP1,TAF1,XRCC5,SMAD5,ID2,CHUK,HNRNPU,CCNT1,CDCA5,PA2G4,SMC3,RUVBL2,FZR1,NONO,E2F4,RNF4,TCF20,PRMT1,JUN,SIN3A,CTCF,RPL11,RBL1,KMT2A,JUND"
VRK1,"TP53,JUN,ATF2,HIST1H3A"
STK38L,"SMARCA5,YAP1"
PKN3,EGFR
CDC42BPG,"CDH1,ERBB2"
CAMKIIGAMMA,"EGFR,CREB1"
ABL,"CBL,CDK2,MUC1,CAV1,NFKBIA"
STK3,"PRKCA,HIST1H3A,YAP1"
GSK3B,"TRAF3,STAG1,FOXA1,TOP2A,MYC,SET,PPARG,SPEN,PLK1,TUBB,KHDRBS1,DNMT3A,TP53BP2,TP53BP1,CHEK1,EHMT1,MSH2,PIAS1,HMGA1,MECP2,CCND1,CDK2,GPS1,CAV1,SMARCA2,CTR9,ING4,MAPK1,HIF1A,VHL,GSK3B,MAPK7,MNT,NR3C1,CDK8,SNAI1,FOS,CDK6,BANP,SUZ12,UBE3A,SNW1,CCNE1,CDKN1A,SP2,KPNB1,TRIM24,DAXX,APPL1,E2F1,CDK1,SP3,GADD45A,CEBPB,ERBB2,KDM5A,SMURF1,TCF3,MDM4,NCOA3,RFC1,PIM1,NPM1,RELB,TRRAP,CCNA2,HDAC4,NCOA2,SMARCC1,ATF2,NCOR2,ATF3,SMAD3,EGR1,LRIF1,MAP2K1,FANCD2,CSNK2B,SKP2,ASXL1,ATAD2,LYN,FOSL2,SETDB1,JARID2,NR2C1,SMAD4,BIN1,GTF2I,TFDP1,KAT5,CDYL,ATRX,HUWE1,EHMT2,SMAD2,ANP32A,CARM1,RBL2,NFATC1,PTPN1,CREB1,SP1,RUNX1,ATXN3,FOXO3,NFE2L2,SMAD1,TLE1,PRKCA,BHLHE40,POLR2A,BRCA1,KAT6A,TP53,SIRT1,PML,BARD1,KLF4,CHD4,MAPKAPK2,CCAR2,NFKBIA,RB1,NRIP1,RELA,IRF1,SMAD7,USP37,TOPBP1,NCOR1,MED1,MUC1,MAPK8,BRD4,FOXO1,CDH1,EGFR,UHRF1,NFKB2,HIPK2,FOXM1,PTEN,SFPQ,JUNB,RBBP4,BCL6,EZH2,PELP1,STAT1,KDM1A,DNMT1,TAF3,SMARCA4,STAG2,STAT3,HNRNPD,SREBF1,TOP2B,TAF1,SMAD5,ID2,CHUK,KLF5,PPARGC1B,CCNT1,SMC3,SQSTM1,FZR1,KMT2A,TCF20,JUN,SIN3A,CEBPD,NFKB1,ETV6,SKIL,CALM1,CTCF,RPL11,RBL1,HSPA8,IER3,JUND"
CDC7,"TOP2A,NPM1,NCL"
MAP3K10,TCF3
TNIK,TCF7L2
CDK6,"RUNX1,H2AFY,RBL2,FOXM1,NPM1,RB1,CDKN1A"
STK40,MAPKAPK2
CAM-KII-A,"EGFR,ERBB2"
AURORA-A,"AURKA,BRCA1,TP53"
STK26,"TRAF6,SMARCA5"
CAM-KIV,"HDAC4,CREB1,HDAC5"
CK1DELTA,"MDM4,FOXO1,PLK1,CDK1,TP53"
CDK18,SIRT2
PIK3CA,SMARCA2
PAK5,"MAP2K1,TCF3"
AURORAA,"NCOR1,CCND1,HDAC3,NCOA3,TOP2A,AKT1,FZR1,AURKA,NME1,CCNE1,NFKBIA,CCNA2,PLK1,CDK1,BRCA1,GSK3B,TP53"
MYLK2,NFKB2
PTK2,"SUMO1,PTEN"
FYN,"CBL,LYN,CCND1,PRKCD,FOS,EGR1,CAV1,TOP2A,NFE2L2,SIRT2,TGFB1I1,STAT1,H3F3A,PTEN"
STK38,YAP1
IGF1R,"TOP2A,EGFR,JAK1,FOS"
GSK3A,"CCND1,BCL3,AKT1,MYC,CCNE1,GSK3A,CEBPB"
CDK3,"JUN,CDK2,CCNH,CCNE1,CCNA2,TFDP1,RB1,E2F1,CDKN1A"
ABL1,"FOXA1,MYC,STAT1,PLK1,GADD45A,ERBB2,CEBPB,STAT3,HDAC2,MDM4,NCOA3,DDB1,TP53,YAP1,CBL,CCND1,EGR1,CAV1,CCAR2,NFKBIA,RB1,JUN,PRKCD,FOS,EGFR,HIPK2,CDC73,UBE3A,SNW1,PTEN,JUNB,KAT5,CDKN1A"
AMPKA2,"SREBF1,FOXO3,CREB1"
MAP2K1,"MAPK3,CCND1,STAT3,FOS,MAPK8,MAP2K1,EGFR,MYC,ELK1,HSPA8,MAPK1,PPARG,GSK3B"
CDK20,CDK2
ATR,"HUWE1,PELP1,DAXX,E2F1,CDK9,CHEK2,CREB1,ATM,SP1,H2AFX,NPM1,CHEK1,MSH2,BRCA1,PRKDC,TP53,GPS1,PML,FANCD2,CHD4,NBN,CCAR2,SMC1A,MLH1,TOPBP1,KMT2A"
AURKA,"TP53,FOXM1,AURKA,MYBBP1A,SKI,HIST1H3A,VHL,CCNA2,PLK1,BRCA1,GSK3B,PIN1,CDKN1A,YAP1"
CSNK2B,"SNAI1,FOS,RUVBL2,CSNK2B,SIRT6"
PRKCD,"MAPK3,TRIM28,HDAC5,STAT1,GSK3A,GADD45A,STAT3,NFE2L2,PRKDC,TP53,PA2G4,RPS3,EGR1,CAV1,SQSTM1,MAPK1,HIST1H3A,GSK3B,LYN,JUN,PRKCD,FOS,MAPK8,MUC1,CDH1,PTEN,CDKN1A"
PKCEPSILON,"MAPK3,PRKCD,SP1,NFKB1,PRKCA,MAPK1,JAK1,NRIP1,HSP90AA1"
CAMKIIDELTA,"JAK1,CREB1"
PRKCZ,"MAPK3,SP1,STAT3,NCOA3,MAP2K1,GSK3B,AKT1,PIAS4,MAPK1,PTEN,IKBKB,JAK1,RELA,MAPK7,PIN1,YAP1"
PAK1,"PA2G4,PRKCD,CCND1,SNAI1,ERBB2,FOXO1,EGFR,AKT1,MAP2K1,HTT,AURKA,HIST1H3A,ELF3,SPEN,CTBP1,PPP2R1A,PLK1"
ADRBK1,"PRKCA,EGFR,PRKCD,MAPK3"
EPHB2,"GTF2I,LYN"
RET,"MAPK9,MAPK3,STAT3,MAPK8,AKT1,MAPK1"
MAP4K1,LYN
ERK2,"SMAD2,MYC,STAT1,PPARG,ERBB2,KHDRBS1,CEBPB,SP1,TCF3,NCOA3,STAT3,SREBF1,SMAD1,PRKCA,HDAC4,ATF2,RPS6KA1,TP53,NCOR2,CBL,SMAD3,MAP2K1,ELK1,MAPKAPK2,SRF,RB1,NRIP1,NCOA1,MAPK7,RELA,JUN,ETV6,NFKB1,FOS,EGFR,SMAD4,JUNB,JUND"
GSK-3-B,"CCND1,MUC1,NFKB1,HNRNPD,SNAI1,ATXN3,MYC,CCNE1,PTEN,RELA,CEBPB,CDKN1A"
MAP2K2,"MAP2K1,MAPK3,MAPK1,GADD45GIP1"
CDK9,"SMAD3,RB1,FZR1,SMAD1,NCOA2,PPARG,POLR2A,CDK9,CCNT1,TP53"
PTK6,"EGFR,KHDRBS1,AKT1"
TSSK4,CREB1
PKCTHETA,"LYN,MAPK3,PRKCD,MAPK8,AKT1,MAPK1,IKBKB,CHUK"
MAP3K2,STAG2
PKMYT1,"PLK1,CDK1,SMARCA4"
CK1EPSILON,"PLK1,FOXO1,TP53"
FOXO3,AKT1
PKCETA,PRKCD
JAK2,"LYN,EZH2,MAPK3,STAT3,SMARCA2,STAT1,MAPK1,HIST1H3A,GTF2I"
PRPF4B,"ELK1,SFPQ"
BCR,
PLK3,"JUN,ATF3,TOP2A,NPM1,PTEN,HIF1A,ATF2,TP53,CHEK2"
PDHK1,"PRKCD,FOXO1,EGFR,FOXO3,AKT1,MAP2K1,GSK3B,PRKCA,PTEN,IKBKB,CHUK,GSK3A,HSP90AA1,RPS6KA1"
CSNK1D,"NCOA3,CDH1,UHRF1,HIF1A,DNMT1,TP53,YAP1"
ILK,"AKT1,TGFB1I1"
TGM2,HIST1H3A
RPS6KB1,"TOP2A,MXD1,CCAR2,CDK1,GSK3B"
PKM,STAT3
CSNK2A2,"TOP2A,MYC,STAT1,CCNH,GADD45A,ERBB2,CDK1,TUBB,KHDRBS1,NELFE,HNRNPD,NPM1,TRRAP,CCNA2,BRCA1,TP53,CCND1,CDK2,EGR1,SMC3,CSNK2B,PRMT1,JUN,FOS,CDH1,EGFR,RPL11,JUNB,JUND,CDKN1A"
RPS6KA2,"MAPK3,GSK3B,CREB1,RPS6KA1"
TAOK1,GSK3B
CAMKK2,AKT1
TGFBR2,"YAP1,PML,SP1,SNAI1,SMAD3,CAV1,CDH1,NFKB1,SMAD2,EGR1,MYC,TGFB1I1,PPP1CA,ERBB2,HSP90AA1,MLH1,TP53,WWP1"
PKCIOTA,"RELA,CCND1,NFKB1,SREBF1,RUVBL2,SQSTM1,IKBKB,CHUK,HSP90AA1"
CDC2,"EZH2,TOP2A,TRIM28,RAD21,MYC,RBL2,CCNH,E2F1,CDK1,PLK1,KHDRBS1,PTPN1,ATM,STAT3,SREBF1,TOP2B,NPM1,TP53BP1,PARP1,CCNA2,CHEK1,BRCA1,PRKDC,TP53,NFYA,CCND1,CSNK2A1,NBN,MAP2K1,FZR1,SKP2,RB1,RELA,ATAD2,JUN,NCOR1,LYN,FOS,FOXO1,XPO1,FOXM1,NCL,RBL1,GTF2I,CDK7,CCNE1,TFDP1,KAT5,CDKN1A"
TRIM33,SMAD4
MAPK11,"LYN,JUN,PML,JAK1,NFKB1,FOS,EGFR,ATF2,FZR1,ELK1,STAT1,MAPKAPK2,HBP1,SRF,NFATC1,E2F1,MAPK11,CEBPB,NR3C1,TP53"
ZAK,SVIL
MAPK12,"JUN,CCND1,FOS,ELK1,MAPKAPK2,NFATC1,ATF2,TP53"
MAP3K1,"HIST1H4A,STAT3,MAP2K1,RUVBL2,CALM1,HSPA1A,NCL,HSPA8,TUBA1A,TUBB,HSP90AA1,DDB1"
NUAK1,"CDKN1A,TP53"
GRK2,SMAD2
DMPK1,
DAPK1,"SMARCA2,MAPK3,PIN1,TP53"
JAK1,"STAT1,HIST1H3A"
EPHA7,LYN
PKBALPHA,"EZH2,PELP1,SMAD2,MYC,GSK3A,CTBP1,GRIP1,PTPN1,CREB1,MDM4,FOXO3,NPM1,CHUK,CHEK1,JAK1,BRCA1,SMARCC1,PRKDC,TP53,YAP1,NCOR2,SMAD3,HTT,NFKBIA,IKBKB,SKP2,RARA,NRIP1,GSK3B,RELA,TOPBP1,NFKB1,FOXO1,AKT1,MXD1,PTEN,HSP90AA1,CDKN1A"
RPS6KA1,"CEBPB,JUN,CREB1,MAPK3,EGR1,FOS,YBX1,MXD1,MAPK1,NFKBIA,SRF,CHEK1,GSK3B,MAPK7,TP53"
MKNK2,SFPQ
TAOK2,GSK3A
PDGFRB,"PRKCD,MUC1"
PKCGAMMA,"LYN,PRKCD,TOP2A,ATXN3,PRKCA,RARA,GSK3A,PTPN1"
PRKX,
TNK2,"HIST1H4A,AKT1,WWOX"
MAPK14,"STAG1,TOP2A,MYC,SPEN,PLK1,TUBB,KHDRBS1,HEXIM1,TP53BP1,CHEK1,MSH2,HMGA1,CCND1,CDK2,CAV1,SMARCA2,ING4,MAPK1,HIF1A,VHL,GSK3B,NR3C1,FOS,CDK6,BANP,SUZ12,XPO1,CCNE1,HBP1,TUBA1A,YY1,CDKN1A,TCF7L2,E2F1,CDK1,SP3,GADD45A,CEBPB,ERBB2,TCF3,MDM4,NCOA3,PIM1,NPM1,TRRAP,CCNA2,NCOA2,ATF2,PRKDC,NCOR2,ATF3,SMAD3,EGR1,LRIF1,MAP2K1,CSNK2B,AURKA,SKP2,ASXL1,ATAD2,FOSL2,JARID2,NR2C1,SMAD4,SIRT6,TFDP1,GTF2I,HSP90AA1,KAT5,ATRX,EHMT2,IER3,RBL2,NFATC1,PTPN1,SP1,NELFE,RUNX1,ATXN3,FOXO3,NFE2L2,TLE1,BHLHE40,PARP1,POLR2A,BRCA1,TP53,KLF4,CHD4,ELK1,MAPKAPK2,NFKBIA,RB1,RELA,TOPBP1,USP37,NCOR1,SIAH2,MAPK8,MUC1,FOXO1,CDH1,AKT1,EGFR,FOXM1,PTEN,JUNB,RBBP4,EZH2,TERF2,STAT1,DNMT1,SMARCA4,STAT3,SREBF1,TOP2B,ID2,CHUK,HNRNPU,RPS6KA1,SMC3,SQSTM1,HIST1H3A,JUN,SIN3A,SVIL,ETV6,CTCF,HSPA8,KMT2A,JUND"
PRKD2,"RXRA,HDAC5,MTF2,SET,GRIP1"
AKT3,"GSK3B,PRKCD"
CDKL2,CALM1
CAMK1G,RNF14
MAPK6,"HSPA4,DDB1,NCOA3"
IKBKE,"IRF7,NFKB1,BTRC,SKP1,IKBKE,FOXO3,AKT1,CALM1,HSPA1A,STAT1,HSPA8,NFKBIA,NFATC1,GSK3A,CUL1,TUBB,RELA,IRF1,YAP1"
PLK2,"PLK1,FBXW7,NPM1"
ROR2,KPNB1
MYLK,MAPK3
FGFR3,"STAT1,PTEN"
ULK4,SMURF1
INSR,"TP53,CBL,HMGA1,JUN,CCND1,FOS,CAV1,PPP2CA,STAT1,NFKBIA,PTEN,KHDRBS1,PTPN1,PHB"
CAMKIV,"HDAC4,CREB1,RELA,SRF"
PLK4,"TOP2A,CCNA2,PLK1,CDK1,PPP2R1A"
MTOR,"DNMT1,JUN,EHMT2,STAT3,SQSTM1,AKT1,CHFR,MYC,TAF3,POLR2A"
BTK,"CBL,LYN,JUN,FOS,CAV1,GTF2I,KHDRBS1,TP53"
PKA-A,"RELA,GSK3B,RARA"
ATM,"EZH2,HUWE1,TERF2,TRIM28,RBL2,DAXX,E2F1,CDK1,TTC5,CHEK2,SMARCA4,ATM,CREB1,SP1,MDM4,SMARCB1,H2AFX,SMAD1,RFC1,EHMT1,TP53BP1,PARP1,CCNA2,MSH2,BRCA1,ATF2,HNRNPU,PRKDC,TP53,LAMTOR5,BARD1,GPS1,CDK2,EGR1,FANCD2,SMC3,CHD4,NBN,MEN1,CCAR2,HIF1A,VHL,XRCC6,SMC1A,RB1,MLH1,TOPBP1,ATAD2,MED1,CHEK1,RBL1,PTEN,FBXW7,HSP90AA1,KAT5"
DMPK,"SP1,SRF"
PRKD3,HDAC5
PKC-Z,RELA
BCR/ABL,
PNCK,HSP90AA1
MSH2,MAP2K1
HCK,
STK10,PLK1
PIM3,PML
TIE1,MAPK11
MAPK1,"TOP2A,MYC,PPARG,TUBB,KHDRBS1,MYBBP1A,TP53BP2,TP53BP1,SAFB,HMGA1,CCND1,CDK2,RPS3,CAV1,MAPK1,HIF1A,GSK3B,MAPK7,NR3C1,SNAI1,FOS,BANP,CDC73,CCNE1,CDKN1A,TGFB1I1,TCF7L2,GSK3A,CDK1,SP3,GADD45A,CEBPB,ERBB2,TCF3,PIM1,NCOA2,ATF2,NCOR2,ATF3,SMAD3,EGR1,CSNK2A1,MAP2K1,SKP2,LYN,FOSL2,NR2C1,SMAD4,GTF2I,SMAD2,RBL2,NFATC1,PTPN1,SP1,RUNX1,FOXO3,SMAD1,TLE1,PRKCA,BHLHE40,PARP1,POLR2A,BRCA1,TP53,BARD1,PML,KLF4,NCOA6,ELK1,MAPKAPK2,CCAR2,NFKBIA,RB1,NRIP1,RELA,NCOA1,SMAD7,MED1,MAPK8,FOXO1,CDH1,AKT1,EGFR,PTEN,FBXW7,JUNB,BCL6,EZH2,TERF2,STAT1,STAT3,RXRA,SREBF1,ID2,CHUK,CDCA5,RPS6KA1,HIST1H3A,JUN,CEBPD,CALM1,IER3,JUND"
PRKACB,"CAV1,CDKN1A,STAT1,FOS"
TRKA,"TRAF6,SQSTM1"
LKB1,"CDH1,CREB1,PTEN"
FASTK,"WWP2,WWP1"
RSK-2,"CREB1,FOS"
PXK,SMARCA2
PRKAA1,"PIAS1,MED1,RB1,FOXO1,SQSTM1,FOXO3,NFE2L2,EGFR,HDAC5,SIRT2,SREBF1,JAK1,CTBP1,ERBB2,TP53,YAP1"
RPS6KA4,"MAP2K1,CREB1,RELA,HIST1H3A"
MAPKAPK5,"FOXO3,MAPK11,TP53"
BMPR1B,"SMAD2,IRF7,SMAD1"
TYK2,"CBL,STAT3,NFKB1,STAT6,NFKB2,JAK1,PTPN1"
WEE2,CDK1
MAP2K3,"TRAF6,MAPK3,SMURF1,SMAD3,SMAD2,SMAD1,SMAD4,MAPK11"
P70S6K,AKT1
POMK,AKT1
DAPK3,"CDKN1A,TP53"
DNA-PK,"JUN,PRKDC,SRF,HSP90AA1,NR3C1,TP53"
WEE1,"CDK1,HSP90AA1,CDK2"
HIPK1,"SMARCA2,MECP2,KAT6A,DAXX"
MAP3K3,"HIST1H4A,LYN,TUBB,RUVBL2,HSPA4,CALM1,HSPA1A,HSPA8,PPP1CA,TUBA1A,STUB1,PPP2R1A,DDB1,PFDN5,UXT"
MAPK13,"JUN,FOS,SQSTM1,ELK1,MAPKAPK2,NFATC1,ATF2,TP53"
CK2ALPHA,"TOP2A,MYC,TCF7L2,KDM1A,CCNH,RCOR1,APPL1,SUMO1,CDK1,PTPN1,SMARCA4,SP1,HDAC2,RBBP4,TAF1,TLE1,NPM1,VDR,CHEK1,HDAC4,MAX,BRCA1,ATF2,TP53,NCOR2,PML,SSRP1,SMARCA2,CHD4,CTR9,ARNT,CSNK2B,NFKBIA,SRF,RB1,RELA,LYN,JUN,HDAC3,SIN3A,PPP1R8,CDH1,AKT1,NCL,UBE3A,PTEN,EED,HSP90AA1,YY1"
CSNK1E,"SMARCA4,CCND1,TRAF3,SNAI1,NCOA3,SIAH2,CDH1,MYC,NCL,STAT1,SET,DNMT1,TUBB,TP53"
PAK4,"MAP2K1,MAPK7,TP53"
SMG1,"HUWE1,TP53"
PDGFRALPHA,"CAV1,JAK1"
PRKG2,"RUNX1,ERBB2"
GRK6,
CAMK2G,STAT1
BORA,PLK1
EPHA8,SMARCA4
LMTK3,
EPHB1,"LYN,STAT3"
MAPKAPK3,RPS6KA1
SRC,"PELP1,TOP2A,MYC,STAT1,PPARG,PLK1,CDK1,TUBB,CDKN1A,CEBPB,STAT3,RUNX1,JAK1,TP53,CBL,CCND1,SMAD3,KLF4,CAV1,EGR1,PPP2CA,MAPKAPK2,E2F4,AURKA,MAPK1,NFKBIA,XRCC6,IKBKB,RB1,SMAD7,LYN,JUN,FOSL2,PRKCD,NFKB1,FOS,MUC1,CDH1,EGFR,AKT1,CALM1,HIPK2,PTEN,SFPQ,GTF2I,JUNB,WWOX"
ACTR2B,"SMAD2,SMAD3,NCOA3"
UHMK1,"MED1,SMURF1,SMAD2,SMAD1,SMAD4"
PKG1CGKI,"CREB1,SP1,TP53"
TYRO3,AKT1
LYK5,SMAD4
ALK,"RELA,STAT3,NCOA6,SFPQ,HSP90AA1,TP53"
CDKN1B,CDK2
PKAGAMMA,"CREB1,RELA,NR3C1,NFKB1"
SGK1,"CREB1,FOXO1,FOXO3,HTT,MAPK1,NFKBIA,IKBKB,FBXW7,MAPK7,GSK3A"
GTF2H1,CDK7
FGFR1,
TBK1,"IRF7,STAT3,STAT6,SQSTM1,AKT1,CALM1,RUVBL2,RPL11,HSPA1A,NONO,HSPA8,NFKBIA,IKBKB,SFPQ,E2F1,TUBB,RELA"
RPS6KB2,GSK3B
CSNK1G3,SMARCA5
NLK,"SETDB1,STAT3,FOXO1,TCF7L2,SMAD4,FBXW7,YAP1"
EGFR,"STAT1,PPARG,APPL1,ERBB2,PTPN1,ATM,STAT3,PRKDC,CBL,CCND1,EGR1,CAV1,PPP2CA,HIST1H3A,LYN,JUN,PRKCD,FOS,MUC1,CDH1,EGFR,IKBKE,CALM1,JUNB,HSP90AA1,CDKN1A"
NEK1,VHL
PBK,"E2F4,JUN,HIST1H3A,CCNA2"
ERBB4,ERBB2
CK2-A,"JUN,MAPK9,RELA,HDAC2,SSRP1,TOP2A,CDH1,AKT1,TLE1,NFKBIA,VDR,PTEN,SRF,MAX,CDK1,HSP90AA1"
PDPK1,"MAP2K1,AKT1"
TLK2,"ASF1A,HSPA4"
MAP2K4,"MAPK9,MAPK8,RXRA,AKT1,HSPA4,DAXX,PTEN"
CAMKIIBETA,"JAK1,CREB1,FOS"
TGFBR1,"IRF7,SMURF1,SMAD2,STAT1,OTUB1,PPP1CA,WWP2,WWOX"
TRIB1,ATF3
PKC-D,"STAT3,MUC1"
ERK1,"SMAD2,MYC,STAT1,NFATC1,ERBB2,CEBPB,KAT5,SP1,TCF3,STAT3,SREBF1,SMAD1,PRKCA,SMAD5,JAK1,HDAC4,ATF2,RPS6KA1,TP53,NCOR2,NFIC,SMAD3,MAP2K1,SQSTM1,ELK1,HIF1A,SRF,NRIP1,RELA,MAPK7,LYN,JUN,PRKCD,ETV6,NFKB1,MAPK8,FOS,EGFR,SMAD4,GTF2I,JUNB,JUND"
MKNK1,"MAPK3,CHFR,SFPQ"
DYRK2,"JUN,STAT3,SIAH2,MYC,H3F3A,TP53"
JNK1,"SMAD2,MYC,NFATC1,E2F1,SP1,STAT3,RUNX1,ATF2,TP53,SIRT1,SMAD3,MAP2K1,ELK1,HIF1A,RELA,NR3C1,JUN,NFKB1,MAPK8,FOS,FOXM1,HSPA8,JUNB,JUND,CDKN1A"
PKD1,"JUN,MAPK9,NFKB1,MAPK8,EGFR,XPO1,HDAC5,HDAC7,HDAC4,TP53"
SRPK1,CBX3
IRAK1,STAT3
AXL,"LYN,AKT1,STAT3"
MAP3K11,PIN1
MAP2K6,"TRAF6,MAPK11"
LATS1,"CDK1,YAP1"
IKKALPHA,"RELA,IRF7,NFKB1,FOXO3,NFKB2,AKT1,RELB,NFKBIA,NFKBIB,IKBKB,CHUK,HSP90AA1,NCOR2"
HIPK3,SVIL
AURKB,"TOP2A,HDAC5,PLK1,CDK1,ATM,NELFE,SSU72,MYBBP1A,TP53BP1,CCNA2,CDCA5,PRKDC,PIN1,TP53,FANCD2,AURKA,H3F3A,HIST1H3A,RB1,FOXM1,YY1"
MAP3K14,"CREB1,RPS3,YBX1,RUVBL2,CALM1,RPL11,NFKB2,NPM1,NCL,MYBBP1A,HSPA8,NFKBIA,HSPA1A,IKBKB,CHUK,SFPQ,STUB1,RARA,TUBB,HNRNPU"
BARK1,"MAPK3,PRKCD,CAV1,EGFR,HDAC5,PRKCA,PIN1"
PKN1,"EGFR,HDAC5,HIST1H3A"
SCYL2,"NFYA,SMARCA5"
PSKH1,
GSG2,"H3F3A,HIST1H3A"
ACVR1,STAT1
RSK-1,"NFKBIB,CEBPB"
ZAP70,"UBE2L3,MAPK11,MUC1"
MINK1,SMAD2
